Mecca	Saudi Arabia	21.4225	39.8262
Madina	Saudi Arabia	24.4686	39.6142
Riyadh	Saudi Arabia	24.7136	46.6753
Jeddah	Saudi Arabia	21.4858	39.1925
Dammam	Saudi Arabia	26.3927	49.9777
Cairo	Egypt	30.0444	31.2357
Alexandria	Egypt	31.2001	29.9187
Giza	Egypt	30.0131	31.2089
Luxor	Egypt	25.6872	32.6396
Dubai	United Arab Emirates	25.2048	55.2708
Abu Dhabi	United Arab Emirates	24.4539	54.3773
Sharjah	United Arab Emirates	25.3463	55.4209
Ajman	United Arab Emirates	25.4052	55.5136
Doha	Qatar	25.2854	51.5310
Kuwait City	Kuwait	29.3759	47.9774
Manama	Bahrain	26.2285	50.5860
Muscat	Oman	23.5880	58.3829
Sanaa	Yemen	15.3694	44.1910
Baghdad	Iraq	33.3152	44.3661
Basra	Iraq	30.5081	47.7835
Erbil	Iraq	36.1911	44.0092
Amman	Jordan	31.9454	35.9284
Jerusalem	Palestine	31.7683	35.2137
Gaza	Palestine	31.5017	34.4668
Ramallah	Palestine	31.9038	35.2034
Beirut	Lebanon	33.8938	35.5018
Damascus	Syria	33.5138	36.2765
Aleppo	Syria	36.2021	37.1343
Istanbul	Turkey	41.0082	28.9784
Ankara	Turkey	39.9334	32.8597
Izmir	Turkey	38.4237	27.1428
Bursa	Turkey	40.1826	29.0665
Konya	Turkey	37.8746	32.4932
Tehran	Iran	35.6892	51.3890
Mashhad	Iran	36.2605	59.6168
Karachi	Pakistan	24.8607	67.0011
Lahore	Pakistan	31.5204	74.3587
Islamabad	Pakistan	33.6844	73.0479
Peshawar	Pakistan	34.0151	71.5249
Faisalabad	Pakistan	31.4504	73.1350
Delhi	India	28.6139	77.2090
Mumbai	India	19.0760	72.8777
Hyderabad	India	17.3850	78.4867
Bengaluru	India	12.9716	77.5946
Kolkata	India	22.5726	88.3639
Chennai	India	13.0827	80.2707
Lucknow	India	26.8467	80.9462
Dhaka	Bangladesh	23.8103	90.4125
Chattogram	Bangladesh	22.3569	91.7832
Kabul	Afghanistan	34.5553	69.2075
Tashkent	Uzbekistan	41.2995	69.2401
Almaty	Kazakhstan	43.2220	76.8512
Baku	Azerbaijan	40.4093	49.8671
Tbilisi	Georgia	41.7151	44.8271
Kuala Lumpur	Malaysia	3.1390	101.6869
Johor Bahru	Malaysia	1.4927	103.7414
